TABLE NO.  1
 ID          TIME        DV          MDV         CMT         DL          IPRED       IWRES       DV          PRED        RES         WRES
  2.0000E+00  4.5000E+01  1.2817E-02  0.0000E+00  2.0000E+00  1.0000E+00  1.5393E-03  1.1277E-02  1.2817E-02  1.5393E-03  1.1277E-02  6.4840E-02
  2.0000E+00  4.5000E+01  4.8137E-02  0.0000E+00  3.0000E+00  1.0000E+00  9.3941E-03  3.8742E-02  4.8137E-02  9.3941E-03  3.8742E-02  2.2275E-01
  2.0000E+00  6.0000E+01  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.9757E-04 -1.9757E-04  0.0000E+00  1.9757E-04  0.0000E+00  0.0000E+00
  2.0000E+00  6.0000E+01  9.1171E-03  0.0000E+00  2.0000E+00  1.0000E+00  2.3108E-04  8.8861E-03  9.1171E-03  2.3108E-04  8.8861E-03  5.1091E-02
  2.0000E+00  6.0000E+01  1.9701E-02  0.0000E+00  3.0000E+00  1.0000E+00  1.4354E-03  1.8266E-02  1.9701E-02  1.4354E-03  1.8266E-02  1.0502E-01
  2.0000E+00  9.0000E+01  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  2.5712E-06 -2.5712E-06  0.0000E+00  2.5712E-06  0.0000E+00  0.0000E+00
  2.0000E+00  9.0000E+01  0.0000E+00  1.0000E+00  2.0000E+00  1.0000E+00  2.5712E-06 -2.5712E-06  0.0000E+00  2.5712E-06  0.0000E+00  0.0000E+00
  2.0000E+00  9.0000E+01  6.9208E-03  0.0000E+00  3.0000E+00  1.0000E+00  2.8117E-05  6.8927E-03  6.9208E-03  2.8117E-05  6.8927E-03  3.9630E-02
  2.0000E+00  1.2000E+02  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  3.3462E-08 -3.3462E-08  0.0000E+00  3.3462E-08  0.0000E+00  0.0000E+00
  2.0000E+00  1.2000E+02  0.0000E+00  1.0000E+00  2.0000E+00  1.0000E+00  3.3462E-08 -3.3462E-08  0.0000E+00  3.3462E-08  0.0000E+00  0.0000E+00
  2.0000E+00  1.2000E+02  2.4376E-03  0.0000E+00  3.0000E+00  1.0000E+00  4.8814E-07  2.4371E-03  2.4376E-03  4.8814E-07  2.4371E-03  1.4012E-02
