TABLE NO.  2
 ID          KA          K20         K30         V2          DV          PRED        RES         WRES
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.8869E-01  2.8984E-01 -1.1553E-03 -8.4656E-03
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  3.4308E-01  3.1868E-01  2.4396E-02  1.7876E-01
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  5.7500E-02  5.9797E-02 -2.2976E-03 -1.6835E-02
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.4895E-01  2.9879E-01 -4.9834E-02 -3.6515E-01
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.2622E-01  1.7039E-01  5.5832E-02  4.0911E-01
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  4.2181E-02  4.2524E-02 -3.4380E-04 -2.5192E-03
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.9632E-01  2.3112E-01 -3.4800E-02 -2.5499E-01
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.1753E-01  9.1098E-02  2.6429E-02  1.9366E-01
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  3.7602E-02  2.7040E-02  1.0562E-02  7.7393E-02
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.8233E-01  1.5898E-01  2.3348E-02  1.7108E-01
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  8.6376E-02  2.6041E-02  6.0335E-02  4.4209E-01
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.2411E-02  9.3841E-03  1.3027E-02  9.5455E-02
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.2741E-01  6.3561E-02  6.3845E-02  4.6782E-01
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  3.9800E-03  0.0000E+00  0.0000E+00
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  1.6299E-03  0.0000E+00  0.0000E+00
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  1.3165E-02  0.0000E+00  0.0000E+00
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  6.0829E-04  0.0000E+00  0.0000E+00
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  2.6239E-04  0.0000E+00  0.0000E+00
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  2.4336E-03  0.0000E+00  0.0000E+00
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  1.4209E-05  0.0000E+00  0.0000E+00
